id,fid,weight,lon,lat,flow_from,frow_to
N021,6,81.25225049,139.4827885,35.93943183,70.72831142,10.52393907
N024,8,248.4587347,139.4779782,35.93637544,125.1242259,123.3345087
N029,11,395.2678977,139.4738024,35.93186968,183.5601684,211.7077293
N031,12,59.61125979,139.4833958,35.93285874,33.93286019,25.6783996
N026,13,59.34924724,139.4887153,35.93199348,22.64733688,36.70191036
N036,15,42.12059348,139.4785868,35.92960222,23.24441336,18.87618012
N034,16,225.2100053,139.4823289,35.92925296,113.8260168,111.3839885
N047,19,30.9345006,139.4719071,35.92654005,15.97370954,14.96079106
N051,20,142.8342598,139.4801564,35.92528365,57.43193873,85.40232104
N038,21,473.5290129,139.4857581,35.92730148,181.2377055,292.2913074
N040,22,1,139.4833022,35.92617351,0,0
N056,23,1,139.4842923,35.92485542,0,0
N054,24,142.4127722,139.4891153,35.92486934,73.04814707,69.36462508
N050,25,81.24185065,139.4923525,35.92744048,29.25470447,51.98714618
N068,27,38.24872463,139.475443,35.92278785,21.28509723,16.9636274
N063,28,1,139.4828016,35.92250934,0,0
N070,29,1,139.4850921,35.92203565,0,0
N082,30,121.5674829,139.494979,35.92320476,35.866523,85.70095987
N124,32,216.3931874,139.4706213,35.91712919,92.7666154,123.626572
N104,33,74.60212784,139.4791296,35.91825541,44.20598192,30.39614592
N098,34,1,139.4835813,35.91868877,0,0
N084,35,112.3351209,139.4919175,35.91985361,58.83160953,53.50351134
N142,39,554.5955941,139.4863781,35.90928989,348.8903007,205.7052933
N159,42,226.1374094,139.4819365,35.90669505,143.1688329,82.96857653
N161,44,180.9590994,139.4751826,35.90413321,71.70875953,109.2503398
N176,46,141.7345482,139.479646,35.90174465,74.82557172,66.90897651
N177,48,122.6071672,139.4848177,35.9004588,64.14259309,58.46457415
