condition,flow,routes_length,feeder_hub_count,flow_feeder,total_feeder_distance,max_capacities,avg_capacities
10000.0,27.702111103000007,9948.0,14.0,551.7863097889999,15282.481391487998,108.227424274,42.445100753000006
11000.0,27.702111103000007,9948.0,14.0,551.7863097889999,15282.481391487998,108.227424274,42.445100753000006
12000.0,27.702111103000007,9948.0,14.0,551.7863097889999,15282.481391487998,108.227424274,42.445100753000006
13000.0,53.10433167400003,12316.0,17.0,469.03181068999993,25719.034879701005,120.86303920500004,29.314488168125
14000.0,53.10433167400003,12316.0,17.0,469.03181068999993,25719.034879701005,120.86303920500004,29.314488168125
15000.0,77.48692322000002,14975.0,20.0,405.84883017899995,27014.603957625004,46.201719620999995,23.873460598764705
16000.0,77.48692322000002,14975.0,20.0,405.84883017899995,27014.603957625004,46.201719620999995,23.873460598764705
17000.0,77.48692322000002,14975.0,20.0,405.84883017899995,27014.603957625004,46.201719620999995,23.873460598764705
18000.0,110.17596302999998,17420.0,23.0,341.2531181239999,30355.069061337,50.739969466000005,17.0626559062
19000.0,110.17596302999998,17420.0,23.0,341.2531181239999,30355.069061337,50.739969466000005,17.0626559062
20000.0,142.99756834900012,19985.0,27.0,290.221484356,13717.630057025997,46.349340815,16.123415797555555
21000.0,142.99756834900012,19985.0,27.0,290.221484356,13717.630057025997,46.349340815,16.123415797555555
22000.0,142.99756834900012,19985.0,27.0,290.221484356,13717.630057025997,46.349340815,16.123415797555555
23000.0,148.65536084100032,22655.0,29.0,281.986937864,14453.117862342,61.25676771900001,15.665940992444446
24000.0,148.65536084100032,22655.0,29.0,281.986937864,14453.117862342,61.25676771900001,15.665940992444446
25000.0,148.65536084100032,22655.0,29.0,281.986937864,14453.117862342,61.25676771900001,15.665940992444446
26000.0,148.65536084100032,22655.0,29.0,281.986937864,14453.117862342,61.25676771900001,15.665940992444446
27000.0,148.65536084100032,22655.0,29.0,281.986937864,14453.117862342,61.25676771900001,15.665940992444446
28000.0,154.33135522400045,27468.0,32.0,273.49427164400004,18660.175126813,36.584302058999995,13.674713582199999
29000.0,154.7506338130001,28457.0,29.0,269.18699164000003,14322.392378194998,38.28743696800001,16.8241869775
30000.0,168.2001501980004,29966.0,32.0,251.87743559999998,10643.394602688,28.815140999000004,13.256707136842106
31000.0,168.2001501980004,29966.0,32.0,251.87743559999998,10643.394602688,28.815140999000004,13.256707136842106
32000.0,168.2001501980004,29966.0,32.0,251.87743559999998,10643.394602688,28.815140999000004,13.256707136842106
33000.0,176.4798685350003,32450.0,31.0,240.27048251600002,23979.903748852,108.11667882600001,15.016905157250001
34000.0,176.4798685350003,32450.0,31.0,240.27048251600002,23979.903748852,108.11667882600001,15.016905157250001
35000.0,180.42460811500027,34914.0,32.0,235.09909053400003,10767.647895089,43.869264241,15.673272702266667
36000.0,182.6203785530004,35120.0,33.0,232.03593602399997,11854.532398176001,41.884448666000004,13.649172707294117
37000.0,182.6203785530004,35120.0,33.0,232.03593602399997,11854.532398176001,41.884448666000004,13.649172707294117
38000.0,186.58026199000037,37584.0,34.0,226.864544042,8809.132348540003,32.240372716,15.124302936133335
39000.0,186.58026199000037,37584.0,34.0,226.864544042,8809.132348540003,32.240372716,15.124302936133335
40000.0,192.10939873200033,39399.0,37.0,217.362735798,9296.871117596,42.694065999,10.8681367899
41000.0,192.10939873200033,39399.0,37.0,217.362735798,9296.871117596,42.694065999,10.8681367899
42000.0,200.93019909100042,41883.0,36.0,205.75578271400005,8857.777918593,61.244981577000004,12.859736419625001
43000.0,200.93019909100042,41883.0,36.0,205.75578271400005,8857.777918593,61.244981577000004,12.859736419625001
44000.0,200.93019909100042,41883.0,36.0,205.75578271400005,8857.777918593,61.244981577000004,12.859736419625001
45000.0,205.55683258500042,44553.0,37.0,199.85458925699993,6711.4168699970005,32.715825217,11.1030327365
46000.0,205.55683258500042,44553.0,37.0,199.85458925699993,6711.4168699970005,32.715825217,11.1030327365
47000.0,205.55683258500042,44553.0,37.0,199.85458925699993,6711.4168699970005,32.715825217,11.1030327365
48000.0,209.7590177310004,47017.0,38.0,194.68319727500005,12588.227072099002,49.06438519100001,14.975630559615386
49000.0,209.7590177310004,47017.0,38.0,194.68319727500005,12588.227072099002,49.06438519100001,14.975630559615386
50000.0,209.7590177310004,47017.0,38.0,194.68319727500005,12588.227072099002,49.06438519100001,14.975630559615386
